"english","bengali","preposition","example"
"homestead","ভিটা",,
"homicide","নরহত্যা",,
"hooligan","গুণ্ডা",,
"hoop","পতর",,
"horrible","ভয়ঙ্কর",,
"hosiery","হোসিয়ারি",,
"hostage","জিম্মি",,
"hostile","প্রতিকূল",,
"hound","জ্বালাতন করা",,
"hover","বাতাসে ভাসিতে থাকা",,
"hue","রঙ",,
"humanitarian","মানবিক",,
"humbly","বিনীতভাবে",,
"humiliating","অপমানকর",,
"humming","গুণ গুণ শব্দ",,
"hurl","সজোরে নিক্ষেপ",,
"hyacinth bean","জলচর মটরশুটি, শিম",,
"icky","কিনতে হত",,
"ied","আইইডি",,
"immense","অপরিমেয়",,
"impaired","হত",,
"impasse","কানাগলি",,
"impeccable","অনবদ্য",,
"impede","ঠেকান",,
"impediment","অন্তরায়",,
"imperative","অনুজ্ঞাসূচক",,
"impersonating","ছদ্মবেশ ধারণ",,
"implausible","অকল্পনীয়",,
"implement","বাস্তবায়ন",,
"implicate","সংশ্লেষ করা",,
"implode","কেন্দ্রীভূত করা",,
"imply","পরোক্ষভাবে প্রকাশ করা",,
"impose","আরোপ করা",,
"imposing","মনোরম",,
"impotent","নপুংসক",,
"impoverished","দরিদ্র",,
"imprisonment","কারাবাস",,
"improbable","অভাবনীয়",,
"impromptu","তাৎক্ষণিক",,
"improvisation","অচিন্তিত রচনা",,
"improvise","আশুরচনা করা",,
"inadequate","অপর্যাপ্ত",,
"inadvertently","অসাবধানতাবসত",,
"inauguration","উদ্বোধন",,
"incapable","অসমর্থ",,
"incarnation","অবতার",,
"incentive","উদ্দীপক",,
"incisive","ব্যঙ্গকারী",,
"inclement","ঝড়ো",,
"incline","ঢলা",,
"incumbent","শায়িত্ব",,
"incur","ভারাক্রান্ত করা",,
"indecency","অশ্লীলতা",,
"indemnity","ক্ষতিপূরণ",,
"indictment","অভিযোগ",,
"indifferent","উদাসীন",,
"indiscriminate","বাছবিচারহীন",,
"inevitable","অনিবার্য",,
"infatuation","মায়া",,
"inferior","নিকৃষ্ট",,
"infernal","নারকী",,
"inferring",,,
"infiltrator","অনুপ্রবেশকারী",,
"inflame","উত্তপ্ত করা",,
"inflatable","বাজে",,
"inflation","মুদ্রাস্ফীতি",,
"influx","কোনো স্থানে লোকজনের ক্রমাগত আগমন",,"The rohingya influx has caused 14.3 percent wage reduction of all labourers among the host community in teknaf"
"infraction","ব্যত্যয়",,
"infuriate","প্রকুপিত",,
"infusion","আধান",,
"ingratiate","অনুগ্রহ ভাজন করান",,
"injury","আঘাত",,
"innocence","নিরীহতা",,
"innuendo","কটাক্ষ",,
"inquiry","অনুসন্ধান",,
"inquisitive","সন্ধানী",,
"insane","উন্মাদ",,
"insanity","বাতুলতা",,
"inscrutable","অবর্ণনীয়",,
"insight","সম্যগদর্শন; অন্তর্দৃষ্টি",,
"insinuate","কটাক্ষ করা",,
"insist","জোরাজুরি করা","insist on: জিদ",
"insistence","গোঁ; জেদ",,
"instance","এই ক্ষেত্রে","for instance: যেমন; উদাহরণস্বরূপ",
"institution","প্রতিষ্ঠান",,
"instruments","যন্ত্র",,
"insufferable","অসহনীয়",,
"integrity","অখণ্ডতা",,
"intended","অভিপ্রেত",,
"intense","তীব্র",,
"intensify","প্রবল বা তীব্র করে",,
"intercept","পথিমধ্যে রোধ করা",,
"intermittent","সবিরাম",,"Intermittent rain"
"interned","অন্তরীণ",,
"interrogate","জেরা করা",,
"interrogation","জিজ্ঞাসাবাদ",,
"intervene","হস্তক্ষেপ করা",,
"intervention","হস্তক্ষেপ",,
"intestine","অন্ত্র",,"Rotavirus causes gastroenteritis, an inflammation of the stomach and intestines."
"intimacy","অন্তরঙ্গতা",,
"intimate","অন্তরঙ্গ",,
"intimidate","ভয় দেখান",,
"intimidation","হুমকি",,
"intoxicate","প্রমত্ত করা",,
"intravenous","শিরায় প্রদানের জন্য",,
"intricate","জটিল",,
"intriguing",,,
"intriguingly",,,
"inundate","প্রবাহিত করা",,
"invariably","অপরিবর্তনীয়ভাবে",,
"inveigle","মুগ্ধ করা",,
"inviolable","অলঙ্ঘনীয়",,
"invoke","ডাকা",,
"involuntarily","অনিচ্ছাজনিত",,
"ire","ক্রোধ",,
"irk","ক্লান্ত করে তোলা",,
"irrelevant","অপ্রাসঙ্গিক",,
"itch","পাঁচড়া",,
"itching","নিশ্পিশ",,
"jack","নাবিক",,
"jackal","শৃগাল",,
"jealous","ঈর্ষান্বিত",,
"jeopardize","বিপন্ন",,
"jibber-jabber",,"Jibber jabber is Incoherent and unintelligible rapid speech often in slang or patois. Used in the UK as a disparaging name for other languages such as French, Spanish or American.","“It was all jibber jabber. Couldn’t understand a dam’ word the wretched feller was sayin’, Jeeves.”
“But, Milord, he was an American.”
“Yes?”"
"jolly","বলিষ্ঠ",,
"jolting","অস্পষ্ট",,
"jubilee","জয়ন্তী",,
"judas","বিশ্বাসঘাতক লোক",,
"junk","আবর্জনা",,
"keen","উত্সাহী",,
"kid","বাচ্চা",,"1. I kid you not: আমি আপনার সাথে ঠাট্টা করছি না2. I kid, of course. "
"kiln","ভাটা",,
"kitten","বিড়ালছানা",,
"kitty","বিড়ালছানা",,
"kmn",,"Abbreviation for ""kill me now""","Person 1: when will all these election ads be done?
Person 2: november.
Person 1: kmn"
"knee","হাঁটু",,
"knock it off","এটাকে সেষ করো",,
"knowingly","জ্ঞাতসারে",,
"laden","ভারাক্রান্ত",,
"lag","পিছনে ধীরে ধীরে চলা",,"Lag behind"
"landslide","ভূমিস্থলন",,
"languish","শক্তিহীনতা",,
"larva","শূককীট",,
"larvae","শুককীট",,
"lash","কশাঘাত",,
"lath","ছিলকা",,
"laud","প্রশংসা",,
"lax","শিথিল",,
"leaps and bounds","অনেক আনন্দ",,
"led","চালিত","led by",
"leer","অপাঙ্গদৃষ্টি",,
"legacy","উত্তরাধিকার",,
"legislation","আইন",,
"legitimacy","বৈধতা",,
"legitimate","বৈধ",,
"lending","ঋণদান",,
"lentil","মসুর",,
"lest","পাছে",,
"lethal","মারাত্মক",,
"levies","কর",,
"levy","ধার্য",,
"liable","দায়ী",,
"libel","পরনিন্দা",,
"libido",,,
"lice","উকুন",,
"lift","উত্তোলন",,
"light-headed","লঘুচিত্ত","1. mentally disoriented : dizzy 2 : lacking in maturity or seriousness : frivolous",
"lipid","লিপিড",,
"liquor","পানীয়",,
"liquor","পানীয়",,
"livelihood","জীবিকা",,
"livestock","পশুসম্পত্তি",,
"loathe","অতিশয় অপছন্দ করা",,
"lob","ডেলা",,
"lobby","লবি",,
"lobster","গলদা চিংড়ি",,
"lodged","দায়ের",,
"lofty","অহংকারী",,
"loggerheads","বিবদমান",,"Two groups of recruiting agencies are at loggerheads over the saudi embassy move to start visa service centres in dhaka under two leading recruiting agents."
"logistics",,,
"loins","কোমর",,
"loitering","ঘুরাফেরা করিতে",,
"lone","নির্জন",,
"long-drawn","অযথা প্রলম্বিত","long-drawn-out",
"loo","পায়খানা",,
"loom","তাঁত",,
"lopsided","ভারসাম্যহীন",,
"low-key","কম কী",,
"lube","পিচ্ছিলকারক পদার্থ",,
"lucky duck",,"An incredibly lucky person; one who falls into good fortune.","A: ""I won another bet in the basketball tournament—that's three in a row now!"" B: ""Wow, you lucky duck!"""
"lucrative","লাভজনক",,
"lukewarm","কবোষ্ণ",,
"lump-sum","একটি একক সমষ্টিগত অর্থ",,
"lunatic","চন্দ্রাহত",,
"lurch","সহসা জাহাজের কাৎ",,
"lure","টোপ",,
"lynching",,,"It is abhorrent and disguting to see people falling victims of public lynching in several parts of the country over a period of several days."
"macaque","একজাতের ছোটো লেজওয়ালা বাঁদর",,
"machete","চাপাতি",,
"macho","পৌরুষপূর্ণ ব্যক্তি",,
"magistrate","হাকিম",,
"magnetite","ম্যাগনেটাইট",,
"maim","পঙ্গু করা",,
"makeover","পরিবর্তন",,
"makeshift","অস্থায়ী",,
"malice","আক্রোশ",,
"maligning","অপবাদ",,
"mangle","ছিন্ন করা",,
"mannequin","মানবমূর্তি",,
"manure","সার",,
"mar","বিকলাঙ্গ করা",,
"mare","ঘোটকী",,
"marijuana","গাঁজা",,
"maroon","পানিবন্দি",,
"materialize","বাস্তবে পরিণত করা",,
"maternity","মাতৃত্ব",,
"mean",,"by all means: যে কোন উপায়ে ",
"mean","গড়",,
"meant","অভিপ্রেত",,
"measles","হাম",,
"measures","পরিমাপ",,
"mediating","মধ্যস্থতার",,
"mediterranean","ভূমধ্য",,
"memorandum","স্মারকলিপি",,
"menace","ভীতিপ্রদর্শন",,
"mend","মেরামত করা",,
"merely","নিছক",,
"mess","জগাখিচুড়ি",,
"meteor","উল্কা",,
"meteorologist","আবহাওয়াবিদ",,
"mild","হালকা",,
"mildly","আস্তে",,
"militants","জঙ্গিদের",,
"million","মিলিয়ন",,
"mimosa","লজ্জাবতী লতা",,
"minnows","দুর্বল",,
"minuscule","অণুমাত্র",,
"mire","কর্দম",,
"mirth","আনন্দ",,
"misappropriation","আত্মসাৎ",,
"misbegotten","জারজ",,
"misconduct","অসদাচরণ",,
"miscreant","দুর্বৃত্ত",,
"miscue",,,
"misdeed","অপকর্ম",,
"mislead","ভুল পথে চালিত করা",,
"misnomer","অসার্থক নাম",,
"mitigation","প্রশমন",,
"mob","উচ্ছৃঙ্খল জনতা",,"Mobs beat to death five people, including two women, and injured 10 others on suspicion of being child kidnappers."
"mock","উপহাস",,
"mock","উপহাস",,
"mockery","উপহাস",,
"modest","বিনয়ী",,
"modesty","বিনয়",,
"mole","আঁচিল",,
"monkey",,,"Monkey business: বাঁদরামি "
"monopoly","একাধিকার",,
"mooch","ছিঁচকে চুরি করা",,
"mooncalf","আজন্ম নির্বোধ",,
"mooring","আঘাট",,
"moping",,,
"moron","গাধা, বোকা",,
"morons","নির্বোধ",,
"mourn","শোক প্রকাশ করা",,
"mugging","বোকা",,
"mule","অশ্বতর",,
"mull","তালগোল পাকান অবস্থা",,
"murky","অস্পষ্ট",,
"mutiny","বিদ্রোহ",,
"mystery","রহস্য",,
"nachos",,,
"nagging","বিরক্তি",,
"nail","পেরেক",,
"narco-state",,,"How a tiny west african country became the world's first narco state – the guardian headline"
"narcotics","মাদক",,
"nasty","কদর্য",,
"neat","ঝরঝরে",,
"needful","প্রয়োজনীয়",,
"needy","অতি দরিদ্র",,
"negotiate","দরাদরি করা",,
"negotiation","আলাপালোচনা",,
"negotiator","আলাপালোচনকারী",,
"nemesis","অন্যায়ের প্রতিশোধ",,
"nepotism","আত্মীয়পোষণ",,
"nerd",,,
"newlyweds","নবদম্পতি",,
"nibble","মৃদু কামড়",,
"niche","কুলুঙ্গি",,
"nightmare","দুঃস্বপ্ন",,
"novice","ব্রতী",,
"nowhere","কোথাও",,
"nukes","পারমাণবিক অস্ত্র",,
"nullify","বাতিল করা",,
"oath","শপথ",,
"object","উদ্দেশ্য",,"I object: আমি আপত্তি জানাচ্ছি"
"objectionable","আপত্তিকর",,"1. Objectionable remarks 2. India’s supreme court today granted bail to journalist prashant kanojia who was arrested for allegedly making objectionable comments against uttar pradesh chief minister yogi adityanath on social media."
"obligation","দায়িত্ব",,
"obnoxious","আপত্তিকর",,
"obscene","অশ্লীল",,
"obscure","অস্পষ্ট",,
"observe","পালন করা; মান্য করা",,
"observer","পর্যবেক্ষক",,
"obsess","মন অধিকার করিয়া রাখা",,
"obsessing","ভাববে",,
"obsession","আবেশ",,
"obvious","সুস্পষ্ট",,
"occupy","দখল করা",,
"offshore","সমুদ্রতীরাতিক্রান্ত",,
"on purpose","উদ্দেশ্যে",,
"one","এক",,
"onrush","আমদানি",,
"onshore","ডাঙার দিকে",,
"onus","ভার",,
"opaque","অস্বচ্ছ",,
"optimistic","আশাবাদী",,
"ore","আকরিক",,
"ornate","অলঙ্কৃত",,"Ornate flying snake: সাপ বিশেষ"
"orthodox","গোঁড়া",,
"ostracize","বহিষ্কৃত করা",,
"ostrich","উটপাখী",,
"ouster","বেদখল",,
"outage","বিভ্রাট",,
"outbreak","প্রাদুর্ভাব",,"Dengue outbreak"
"outclass","শতগুণে",,
"outplay","জিতা",,
"outrage","অত্যাচার",,
"outrageous","ভয়ানক",,
"overcast","মেঘাচ্ছন্ন",,
"overhaul","পৃষ্ঠা পরিবর্তনের",,
"overplay","বাড়াবাড়ি",,
"overwhelming","অভিভূতকারী",,
"owe","ঋণগ্রস্ত থাকা",,
"owing","করিতে হইবে এমন",,
"pace","গতি",,
"pale","ম্লান",,
"pamper","লাই দেত্তয়া",,
"panacea","সর্বব্যাধিহর ঔষধ",,
"pang","আকস্মিক তীব্র বেদনা",,
"panic","আতঙ্ক",,
"pant","হাঁফান",,
"pants","প্যান্ট",,
"papaya","পেঁপে",,
"par",,"1. the established value of the monetary unit of one country expressed in terms of the monetary unit of another country using the same metal as the standard of value 2. common level","1. Judged the recording to be on a par with previous ones. 2. A partition storyteller par excellence (about kuldip nayar)"
"paradigm","দৃষ্টান্ত",,
"parading",,,
"paraffin",,,
"paralyzing",,,
"particularly",,,"I think it's safe to say that we've all done some things we are not particularly proud of."
"parting","ছাড়াছাড়ি",,
"parting ways","বিভাজন উপায়",,
"pat","চাপড়ান",,
"patriot","দেশভক্ত",,
"patriotic","স্বদেশপ্রেমী",,
"patronize","পিঠ চাপড়ান",,
"paved","বাঁধানো",,
"pavement","ফুটপাথ",,
"paving","পাকা রাস্তা",,
"pea","মটর",,
"peculiar","অদ্ভুত",,
"peddler","হকার; দালাল",,
"pedigree","বংশতালিকা",,
"peek","উঁকি",,
"peel","খোসা",,
"peep","উঁকি",,
"peninsula","উপদ্বীপ",,
"penis envy",,,"Supposed envy of the male's possession of a penis, postulated by freud to account for some aspects of female behaviour (notably the castration complex) but controversial among modern theorists."
"penpal","কলম বন্ধু",,
"perceive","বোঝা",,
"peril","অনিষ্টপাত",,
"perimeter","ঘের",,
"perish","বিনষ্ট করা",,
"perpetrator","অপরাধী",,"Malaysia wants the perpetrators of atrocities against the rohingyas be tried immediately at the international criminal court (icc)."
"persist","জিদ করা",,
"persistent","অধ্যবসায়ী",,
"personnel","কর্মিবৃন্দ",,
"perspiration","ঘাম",,
"pester","বিরক্ত করা",,
"pesticides","কীটনাশক",,
"petition","আবেদন",,
"phenolphthalein",,,"phenolphthalein indicator"
"phenomenon","প্রপঞ্চ",,
"philanthropy","মানবপ্রীতি",,
"picking","গোছগাছ","picking up","Picking up steam"
"pier","জেটি",,
"pile","গাদা",,
"pilgrim","নবাগত",,
"pilgrimage","তীর্থযাত্রা",,
"pimp","কুটনি; দালাল; ধান্দাবাজ",,
"pining",,"pining for",
"Pinocchio",,,
"piss",,"piss off: কেটে পরা",
"pit","কূপ",,
"pivotal","কেঁদ্রগত",,
"placate","শান্ত করা",,
"plague","জ্বালাতন করা; প্লেগ রোগ",,
"plaintiff","বাদী",,
"plantain","কলা",,
"plausible","বিশ্বাসযোগ্য",,
"plea","অজুহাত",,
"please","অনুগ্রহ",,
"pleasing","আনন্দদায়ক",,
"pleasure","পরিতোষ",,
"pluck","টানিয়া সরাইয়া ফেলা",,
"plumber","সীসক",,
"plumbing","নদীর গভীরতানির্ণয়",,
"plunge","নিমজ্জন",,
"plus-size","অতিরিক্ত আকার",,"Plus-size clothing"
"ply","অটলভাবে কাজ করা","ply on",
"poaching","চোরাশিকার",,
"point of order","অর্ডার পয়েন্ট",,
"polymath","বহুবিদ্যাজ্ঞ",,
"ponder","চিন্তা করা",,
"porch","বারান্দা",,
"pore","লোমকূপ",,
"porpoise","শুশুক",,
"possession","দখল",,
"postulate","স্বীকার্য",,
"pothole","গর্ত",,
"pragmatic","রাষ্ট্রীয়",,
"praise","প্রশংসা",,
"precedent","নজির",,
"precipitation","বৃষ্টিপাতের পরিমাণ",,
"precise","যথাযথ",,
"precisely","অবিকল",,
"prejudice","কুসংস্কার",,
"premise","প্রতিজ্ঞা",,
"premises","প্রাঙ্গনে",,
"preposterous","ভ্রান্ত",,
"press","প্রেস",,
"pretend","সাজা",,
"pretentious","দাম্ভিক",,
"pretext","অজুহাত",,
"prevail","বোঝান",,
"prevalence","প্রাদুর্ভাব",,
"prevalent","প্রভাবশালী",,
"price",,,"Price hike: মূল্যবৃদ্ধি"
"pricier","দামী",,
"pride","গর্ব",,
"primitive","আদিম",,
"probable","সম্ভাব্য",,
"probe","তদন্ত",,"Probe committee: তদন্ত কমিটি"
"procrastinate","গড়িমসি করা",,
"procreate","সন্তান উৎপাদন করা",,
"procure","রাজী করান",,
"procurement","আসাদন",,
"program","কার্যক্রম",,
"prolonged","দীর্ঘায়িত",,
"prom","নাচের",,
"prominent","বিশিষ্ট",,
"promiscuity","বাছবিচারহীনভাবে",,
"prompt","প্রম্পট",,
"prop","ঠেকনা","prop up",
"prophylactic","প্রতিষেধক",,
"proportional","সমানুপাতিক",,
"proposition","প্রতিজ্ঞা",,
"prosecution","প্রসিকিউশন",,
"prospect","প্রত্যাশা",,
"prosper","উন্নতিলাভ করা",,
"prostate","প্রস্টেট",,
"provision","বিধান",,
"provisionally","আপাতত",,
"provocative","উত্তেজক",,
"provoking","উদ্দীপক",,
"prowess","পরাক্রম",,
"puffing",,,"Tank engine with real puffing smoke"
"pull","টান","pull out",
"pulsating","স্পন্দিত",,
"pulse","নাড়ি",,
"pumpkin","কুমড়া",,
"pundit","পণ্ডিত",,
"purported","অতিরঞ্জিত",,
"purr","গরগর আওয়াজ",,
"purse","টাকার থলি",,
"pursue","অন্বেষণ করা",,
"pursuit","সাধনা",,
"quake","ভূমিকম্প",,
"quell","দমন করা",,
"query","প্রশ্ন",,
"quirk","ছল",,
"quirky","বিচিত্র",,
"quite",,"quite a lot: কিছুটা",
"quiver","তূণীর",,
"quizzical","ব্যঙ্গাত্মক",,
"racist","বর্ণবাদী",,
"raft","ভেলা",,
"rafting","ভেলা করিয়া লইয়া যাত্তয়া",,
"raid","উপদ্রব",,
"rally","দাম বেড়েছে",,
"ram","পিটান",,
"ramble","ঘুরাঘুরি করা","ramble on",
"rampant","প্রচণ্ড",,
"randy","কামুক",,
"rash","ফুসকুড়ি",,
"rashly","ত্বরায়",,
"rattling","প্রাণবন্ত",,
"raucous","কর্কশ",,
"ravage","লুটপাট",,
"raze","সম্পূর্ণ ধ্বংস করা",,
"reaffirm","পুনর্নিশ্চিত করা",,
"rearguard","পশ্চাদ্ভাগরক্ষী সৈনিকগণ",,
"reasonable","যৌক্তিক",,
"reassure","প্রত্যয় জন্মান",,
"rebel","বিদ্রোহী",,
"rebellious",,,
"rebound","প্রতিক্ষেপ",,
"rebuke","তাড়ন",,
"recall","প্রত্যাহার",,
"recede","ফিরিয়া যাত্তয়া",,
"reciprocity","ক্রিয়া-প্রতিক্রিয়া",,
"reckon","শ্রেণীভুক্ত করা",,
"recognize","চেনা",,
"recurrence","আবৃত্তি",,
"red tape","আমলাতন্ত্র",,"1. Just because of red tape, a container full of relief materials donated by the indian navy for the victims of cyclone mora has been lying abandoned at the chittagong port for nearly seven months."
"redeem","খালাস করা; মুক্ত করা",,"1. We will redeem the old promise 2. Bangladesh's footballers will get a chance to redeem themselves after a disappointing show"
"redundant","প্রয়োজনাতিরিক্ত; আপৎকালীন",,
"reef","প্রবালপ্রাচীর",,
"reeling","ঘুরপাক",,
"referendum","গণভোট",,
"refrain","বিরত থাকা",,"Per our roommate agreement, kindly refrain, from raucous laughter."
"refute","খণ্ডন করা",,
"regard","গণ্য করা",,
"regarding","সংক্রান্ত",,
"regardless","নির্বিশেষে",,
"regime","শাসন",,
"regression","প্রত্যাগতি",,
"regret","দুঃখ প্রকাশ",,
"regrettable","অনুশোচীয়",,
"regretting","আফসোস",,
"rehab",,,
"rehabilitate","পুনর্বাসন করা",,
"rehabilitation","পুনর্বাসন",,"Rohingya rehabilitation project suicidal"
"reign","রাজত্ব; আধিপত্য",,
"reimburse","পরিশোধ করা",,
"reject","প্রত্যাবাসন করান",,
"rejoinder","প্রতিবাদ",,
"reliant","আস্থাবান; নির্ভরশীল",,
"relief","মুক্তি",,
"relocate","নূতন স্থান নির্দেশ করা",,
"reluctance","অনিচ্ছা",,
"reluctant","অনিচ্ছুক",,
"remand","পুনঃপ্রেরণ",,
"remarkable","অসাধারণ",,
"remarks","মন্তব্য",,
"remedial","আরোগ্যকর",,
"remedies","প্রতিকার",,
"render","পারিশ্রমিক প্রদান করা",,
"rendered","অনুষ্ঠিত",,
"repatriation","প্রত্যাবাসন",,
"repel","প্রতিরোধ করা",,
"repellent","বিরক্তিকর",,
"repercussion","প্রতিক্রিয়া",,
"repetition","পুনরাবৃত্তি",,
"reportedly","জানা",,
"reprieve","সাময়িক উপশম",,
"reprisal","প্রত্যধিকার",,
"requisite","প্রয়োজনীয়",,
"resign","পদত্যাগ করা",,
"resilience","স্থিতিস্থাপকতা",,
"resist","প্রতিহত করা",,
"respite","অবকাশ",,"To find some respite from the suffocating heat"
"restraint","বাধা",,
"retain","রাখা",,
"retract","প্রত্যাহার করা",,
"retraction","প্রত্যাহার",,
"retreat","পশ্চাদপসরণ",,
"reveal","প্রকাশ করা",,
"revert","প্রত্যাবর্তন করা",,
"revive","পুনরায় জীবত করা",,
"revoke","রদ করা",,
"rhetoric","অলঙ্কারশাস্ত্র",,
"rhetorical","অলঙ্কৃত",,
"riddle","হেঁয়ালি",,
"rip out","ছিঁড়ে ফেলা",,
"rival","প্রতিদ্বন্দ্বী",,
"rivalry","দ্বন্দ্ব",,
"robust","শক্তসমর্থ",,
"robustness","বলিষ্ঠতা",,
"round-the-clock",,,
"row","সারি",,"A woman rows a boat carrying rice straw, to be used as cooking fuel."
"rumor","গুজব",,
"ruse","ছল",,
"rush","তাড়াহুড়া; ভিড়",,"The rush of dengue patients at the hospital..."
"rust","মরিচা",,
"sabotage","অন্তর্ঘাত",,
"sacks","বস্তা",,
"sacred","পবিত্র",,
"saddle","জিন",,
"saliva","মুখের লালা",,
"salvage","জাহাজ ও জাহাজের মাল রক্ষা করার কাজ",,
"salvo","ফাঁকি; সামরিক অভিবাদনের অঙ্গস্বরূপ একটানা তোপধ্বনি",,
"sanction","অনুমোদন",,
"savages","অসভ্য",,
"savvy","কাণ্ডজ্ঞান",,
"scale","স্কেল",,
"scaling","আরোহী",,
"scalp","মাথার খুলি",,
"scanty","অত্যল্প",,
"scare","ভীতি",,
"scary","ভীতিকর",,
"scoliosis","স্কলায়োসিস",,
"scour","পরিমার্জন",,"The number of piles has been optimised considering the scour depth at the bridge location and also to make the bridge earthquake resistant."
"scrap","ছাঁট; বর্জিতাংশ",,
"scratchy","খর্খরে",,
"scream","চিৎকার",,
"screen","পর্দা",,
"scrotum","অণ্ডকোষ",,
"scrub","মাজা",,
"scrumptious","দারুণ",,
"scrutinize","সূক্ষ্ম বিশ্লেষণ করা",,
"scuffle","ধস্তাধস্তি",,
"sedating",,,
"sedition","রাজদ্রোহ",,
"seduction",,,
"see",,"see off: বিদায় দেত্তয়া; to accompany one to the place where they will be departing and wish them farewell.","John offered to see me off to the train station, but i was so sad to leave that i preferred to go alone. I'm just going to see our guests off. I'll be back shortly."
"seek","চাইতে",,
"seem","মনে",,
"seemingly","আপাতদৃষ্টিতে",,
"seize","বাজেয়াপ্ত করা",,
"seizure","পাকড়",,
"semantic","শব্দার্থিক",,
"settle","বসতি স্থাপন করা",,
"settlement","বন্দোবস্ত",,
"severe","তীব্র",,
"severity","নির্দয়তা",,
"sewer","নর্দমা",,
"shag","কোঁকড়া চুল",,
"sham","মিথ্যা",,
"shatter","ধ্বংস করা",,
"shield","ঢাল",,
"shipwreck","সর্বনাশ",,
"shootout","বন্দুকযুদ্ধে",,
"shore","কূল","shore up: to give someone or something robust support in the face of difficulty or to prevent potential failure. a noun or pronoun can be used between ""shore"" and ""up.""","Workers are trying to shore up the levee to prevent a failure."
"shortfall","ঘাটতি",,
"shout","চিৎকার",,
"shove","ঠেলা",,
"shrimp","চিংড়ি",,
"shrink","সঙ্কুচিত করা",,
"sigh","দীর্ঘশ্বাস",,
"sight","দৃষ্টিশক্তি",,
"signatory","দস্তখতকারী",,
"silt","পলি",,
"sin","পাপ",,
"six-fold","ছয় গুণ",,
"skeptical","সন্দেহপ্রবণ",,
"Skepticism","সংশয়বাদ",,
"skid","পিছলাইয়া পড়া",,
"skinny","চর্মসার",,
"skipper","অধিনায়ক",,
"skirt","স্কার্ট",,
"slain","নিহত",,
"slaked lime","চুন, জলে ভেজানোর পরে",,
"slap","চড়",,
"slaughter","বধ",,
"slide","স্লাইড্",,
"slime","পাঁক",,
"sling","গুল্তি ছোড়া",,
"slum","ঘিঁচি ঘিঁচি বস্তি",,
"slumber party",,"An overnight gathering especially of teenage girls usually at one of their homes",
"slump","অতিমন্দা",,"

1. Analyst say the ongoing slump has been heightened by a surge in sales in recent years… 2. China auto sales slump continues in april."
"slut","বেশ্যা",,
"smoldering","ধিকিধিকি",,
"smug","ফিটফাট",,
"snag","অপ্রত্যাশিত বাধা",,
"snail","শামুক",,"Snail's pace: an extremely slow pace"
"snap","ক্ষুদ্র তালা",,
"snatch","ছিনান",,
"sneak","ছিঁচকে চোর",,
"sneeze","হাঁচি",,
"snowflake","তুষারকণা",,
"soar","উড্ডীন করা",,
"sober","প্রশান্ত",,
"soil","মাটি",,
"sole","একমাত্র",,
"solely","কেবলমাত্র",,"There was a time when bangladesh was solely depended on importing computer machineries from abroad"
"solo","একাকী",,
"sophisticated","বাস্তববুদ্ধিসম্পন্ন",,
"sordid","নোংরা",,
"sought","চাওয়া",,"Much-sought"
"soul","আত্মা",,
"sour","টক",,
"sovereign","সার্বভৌম",,
"sow","বুনা",,
"spank","পাছায় বেত প্রভৃতি দিয়ে মারা",,"Physical punishment in our social context is not limited to a light disciplinary spanking."
"spare","অতিরিক্ত",,
"spearhead",,,
"specimen","নমুনা",,
"speculate","ফটকা খেলা",,
"spill","ঝরা",,
"spoil","লুণ্ঠন",,
"spontaneously","এমনি",,
"spooky","ভুতুরে",,
"spot","অকুস্থল",,
"spotlight","স্পটলাইট",,
"spotted","তিলকিত",,
"sprawl","টানাটানি করা",,
"spread","বিস্তার",,
"spunk","তেজ",,
"squeaky",,,
"squirt","ফোয়ারা",,
"stab","ছুরিকাঘাত",,
"stacked","স্তুপীকৃত",,
"staggering","টলটলায়মান",,
"stain","দাগ",,
"stake","পণ",,
"stale","মামুলি",,
"stalker","উত্ত্যক্তকারীর",,
"stall","স্থগিত",,
"standoff","বিরোধ নিষ্পত্তিতে",,
"staring","অনিমেষনেত্রে",,
"startled","সচকিত",,
"state of the art",,,
"station","সংস্থিত",,
"staunchly","অবিচলিতভাবে",,
"steep",,,
"steer","হাল ধরা",,
"stereotypes","ছকের",,
"sterilize","জীবাণুমুক্ত করা",,
"stern","কঠোর",,
"stew","ভাপে সিদ্ধ করা",,
"stiff","শক্ত",,
"stigmatize","কলঙ্কপূর্ণ করা",,
"sting","দংশন",,
"stink","দুর্গন্ধ",,
"stipulate","উপপত্রিক",,
"stipulate","উপপত্রিক",,
"stirring","মন্থন",,
"stitches","সেলাই",,
"stockpile","মজুদ",,
"stone aggregates",,,"Bhutan exports significant quantity of stone aggregates to bangladesh using the time-consuming land route."
"stool","মল",,
"stout","স্থুলকায়",,
"strait","প্রণালী",,
"strand","তীরভূমি",,
"strangle","শ্বাসরোধ করা",,
"streak","কষ",,
"strenuous","শ্রমসাধ্য",,
"stretch","প্রসারণ",,
"stricken","অভিভূত",,
"strictest","কঠিন",,
"stride","দীর্ঘ",,
"strike","ধর্মঘট",,
"string","দড়ি",,
"stringent","কঠোর",,
"strip","ফালা",,
"struck","তাড়িত",,
"strumpet","বারাঙ্গনা",,
"strung","অনুবিদ্ধ",,
"stuck","আটকে পড়া",,
"studious","অধ্যয়নশীল",,
"stumble","পদস্খলন",,
"stun","অচেতন করা",,
"stutter","তোতলান",,
